driverId,week,hours-logged,miles-logged
25,18,75,3500
949,5,58,3500
612,43,75,2600
538,2,56,3900
914,12,67,2900
951,17,67,1100
209,45,68,2500
671,15,64,2100
925,28,64,3700
510,13,62,3100
614,34,74,2900
626,19,76,500
682,37,79,600
163,8,79,500
341,41,69,2200
589,47,80,1200
664,35,63,3500
643,16,72,3400
270,28,69,2200
686,26,50,2900
280,9,51,4000
291,2,76,3900
174,34,73,1600
883,43,71,800
942,37,56,1400
158,42,66,1600
779,52,74,3200
318,48,67,4000
310,51,53,1600
136,32,69,2300
879,30,72,2600
167,41,60,3500
516,9,52,600
232,22,61,3900
882,44,68,1200
936,31,72,4000
101,43,50,900
75,25,65,200
650,11,76,2700
95,42,55,4000
494,2,76,3800
556,22,68,1900
643,48,79,3000
34,35,51,3900
211,1,79,3700
184,24,59,2800
60,40,60,2800
952,23,59,3700
823,11,57,100
520,2,71,3900
817,42,75,1400
1002,23,80,0
908,43,54,1400
741,31,60,300
147,45,54,300
955,18,50,3000
896,2,58,800
596,16,65,3200
898,8,56,3800
675,45,61,2000
444,50,65,1600
146,19,63,3700
731,51,61,2300
559,42,58,900
469,3,62,1400
841,23,70,2900
258,33,53,3100
77,30,60,2400
117,25,55,3900
245,2,59,3900
966,44,68,3600
182,10,52,3500
890,26,56,900
539,17,54,1000
491,31,69,1300
630,12,54,800
66,11,50,4000
381,30,69,100
430,10,66,1400
989,20,53,2000
496,22,59,3200
600,32,74,800
978,52,62,3800
538,41,78,200
448,28,63,1600
999,1,76,3300
497,28,67,1500
442,44,57,4000
767,15,59,300
824,46,72,3800
208,29,64,2000
624,49,56,800
228,40,78,3300
22,9,68,400
844,28,51,2300
918,21,76,2600
249,39,50,2900
646,27,65,800
653,32,53,2200
51,45,55,2200
66,10,61,1400
496,6,63,3300
824,3,55,3700
281,34,65,3700
694,23,57,3500
106,20,64,3500
757,49,50,1300
823,52,60,1900
200,21,74,3900
681,1,51,200
831,47,70,2100
691,22,73,1800
975,20,65,2900
952,31,54,2600
539,2,65,1200
108,2,58,2100
739,1,52,1100
687,3,54,0
668,33,80,1400
44,46,75,600
155,7,61,500
322,49,65,3300
300,13,75,3500
188,9,54,1900
274,51,73,2800
620,29,58,3300
615,14,67,1600
524,16,74,2600
600,28,70,1200
522,26,64,3500
724,17,59,2200
394,50,79,4000
530,45,55,100
75,11,50,2500
705,40,67,0
727,39,63,3400
355,24,68,1700
874,32,66,2000
382,45,53,3000
387,39,60,1600
642,47,78,3700
875,41,69,4000
652,19,54,2000
788,42,80,1500
830,25,67,2400
802,21,78,2400
322,19,80,2700
121,15,77,1500
611,52,59,300
972,41,67,3700
114,4,67,2300
100,49,75,100
533,41,62,1800
665,38,57,1600
43,31,76,3100
399,34,68,3500
842,25,50,300
589,26,59,3900
529,10,59,1900
483,40,50,1800
173,29,74,2400
985,11,51,0
700,19,53,100
976,40,70,1500
524,24,54,2600
585,12,51,2100
944,8,76,400
844,14,52,1600
207,27,77,3900
298,25,76,100
387,26,51,3300
740,7,80,3400
205,4,62,3200
20,26,78,1200
131,28,59,2200
104,16,65,400
932,2,68,2900
525,42,65,1900
519,7,74,3700
1004,29,52,2400
531,48,78,1900
599,10,56,2100
315,40,68,3700
717,36,72,1300
740,9,70,1500
343,47,73,500
404,45,56,600
287,28,72,2100
504,47,54,300
203,17,50,3200
320,35,74,2200
88,47,67,1200
206,14,59,200
233,25,72,3000
221,22,59,200
225,16,71,1800
203,10,78,1300
644,2,65,200
38,46,66,3100
94,25,55,2100
615,43,73,300
649,3,52,0
872,11,50,3800
859,43,78,2300
930,11,66,1900
806,19,77,1600
840,39,67,2700
105,21,58,3300
493,23,60,2300
114,11,62,2700
151,10,71,3900
637,40,80,1600
143,37,70,2500
250,52,80,3200
678,48,80,3700
655,50,77,2600
316,38,69,1200
515,50,70,500
470,4,57,2300
13,32,63,3400
202,16,75,3700
562,19,71,3400
214,22,78,300
99,30,63,400
589,32,58,1700
862,29,78,3300
705,38,67,400
859,9,69,3800
433,7,57,100
679,25,55,3800
417,51,73,2000
965,34,51,2600
432,27,72,2200
750,38,63,300
237,38,76,1400
790,48,78,1000
141,3,67,2200
937,14,53,2100
16,24,53,3600
1009,2,56,3900
622,39,68,400
912,3,79,500
496,40,68,2100
609,41,77,1200
453,29,61,1900
868,7,51,2500
955,12,79,1800
757,40,55,1300
10,35,63,4000
760,9,55,3400
254,32,59,300
924,27,78,1900
100,12,78,3700
819,5,52,2200
693,47,53,1400
282,24,65,4000
1009,17,59,2000
383,29,76,1700
979,10,52,700
117,45,52,3000
795,11,70,1100
371,52,76,3200
209,38,67,3800
760,50,71,3300
903,10,78,700
533,52,51,1300
764,17,51,3700
305,11,54,3600
826,24,77,3400
394,6,79,300
356,2,51,1000
100,4,52,3500
186,27,50,2100
425,38,53,2900
782,40,57,3800
859,38,75,3400
452,33,63,2200
441,45,67,2200
730,14,63,1100
621,47,77,400
249,17,64,2700
559,34,67,1100
521,22,50,600
80,34,56,1100
885,10,54,1000
66,17,74,1800
268,34,55,300
134,14,62,2900
462,27,71,3600
538,14,76,0
561,30,63,2100
551,17,50,3800
431,26,66,2500
601,6,67,3900
603,16,72,0
191,8,61,3300
529,32,71,900
245,22,62,3700
1005,4,70,1800
25,22,68,3800
680,40,73,200
784,9,51,700
370,16,54,1500
748,8,53,1500
598,46,80,2500
13,7,72,1300
683,45,75,2500
460,27,68,400
856,37,59,700
214,36,67,1400
48,20,75,900
953,18,78,3600
932,24,79,1800
592,43,65,2400
220,39,65,3700
19,43,66,3300
719,27,58,1500
130,41,54,4000
341,30,59,1800
700,52,53,2800
748,8,79,2800
320,29,70,4000
346,7,50,3200
782,9,70,1700
